[NLOS] Signal: -86.89 dBm | First Path: -95.39 dBm | Diff: 8.49 dB
[NLOS] Signal: -86.85 dBm | First Path: -95.48 dBm | Diff: 8.63 dB
[NLOS] Signal: -87.52 dBm | First Path: -94.92 dBm | Diff: 7.40 dB
[NLOS] Signal: -87.11 dBm | First Path: -95.20 dBm | Diff: 8.09 dB
[NLOS] Signal: -87.15 dBm | First Path: -96.54 dBm | Diff: 9.39 dB
[NLOS] Signal: -86.61 dBm | First Path: -95.92 dBm | Diff: 9.31 dB
[NLOS] Signal: -86.89 dBm | First Path: -96.36 dBm | Diff: 9.47 dB
[NLOS] Signal: -86.77 dBm | First Path: -96.39 dBm | Diff: 9.63 dB
[NLOS] Signal: -87.03 dBm | First Path: -96.01 dBm | Diff: 8.98 dB
[NLOS] Signal: -86.93 dBm | First Path: -95.99 dBm | Diff: 9.07 dB
[NLOS] Signal: -86.95 dBm | First Path: -95.98 dBm | Diff: 9.03 dB
[NLOS] Signal: -87.47 dBm | First Path: -96.02 dBm | Diff: 8.54 dB
[NLOS] Signal: -87.36 dBm | First Path: -95.87 dBm | Diff: 8.51 dB
[NLOS] Signal: -89.10 dBm | First Path: -95.84 dBm | Diff: 6.74 dB
[NLOS] Signal: -87.97 dBm | First Path: -95.65 dBm | Diff: 7.68 dB
[NLOS] Signal: -90.74 dBm | First Path: -96.51 dBm | Diff: 5.77 dB
[NLOS] Signal: -88.73 dBm | First Path: -95.09 dBm | Diff: 6.36 dB
[NLOS] Signal: -88.03 dBm | First Path: -95.26 dBm | Diff: 7.23 dB
[NLOS] Signal: -87.53 dBm | First Path: -96.22 dBm | Diff: 8.70 dB
[NLOS] Signal: -87.52 dBm | First Path: -95.92 dBm | Diff: 8.41 dB
[NLOS] Signal: -87.69 dBm | First Path: -95.31 dBm | Diff: 7.62 dB
[NLOS] Signal: -87.52 dBm | First Path: -94.61 dBm | Diff: 7.09 dB
[NLOS] Signal: -87.53 dBm | First Path: -95.38 dBm | Diff: 7.85 dB
[NLOS] Signal: -87.53 dBm | First Path: -95.11 dBm | Diff: 7.59 dB
[NLOS] Signal: -87.23 dBm | First Path: -95.37 dBm | Diff: 8.14 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.48 dBm | Diff: 8.33 dB
[NLOS] Signal: -87.15 dBm | First Path: -94.79 dBm | Diff: 7.64 dB
[NLOS] Signal: -87.61 dBm | First Path: -94.55 dBm | Diff: 6.94 dB
[NLOS] Signal: -87.45 dBm | First Path: -94.50 dBm | Diff: 7.06 dB
[NLOS] Signal: -87.61 dBm | First Path: -95.41 dBm | Diff: 7.80 dB
[NLOS] Signal: -87.31 dBm | First Path: -94.67 dBm | Diff: 7.36 dB
[NLOS] Signal: -87.61 dBm | First Path: -94.04 dBm | Diff: 6.43 dB
[NLOS] Signal: -87.52 dBm | First Path: -94.59 dBm | Diff: 7.07 dB
[NLOS] Signal: -87.68 dBm | First Path: -94.58 dBm | Diff: 6.90 dB
[NLOS] Signal: -87.28 dBm | First Path: -95.18 dBm | Diff: 7.90 dB
[NLOS] Signal: -87.43 dBm | First Path: -94.63 dBm | Diff: 7.20 dB
[NLOS] Signal: -87.93 dBm | First Path: -94.62 dBm | Diff: 6.69 dB
[NLOS] Signal: -87.85 dBm | First Path: -94.80 dBm | Diff: 6.95 dB
[NLOS] Signal: -87.19 dBm | First Path: -93.99 dBm | Diff: 6.79 dB
[NLOS] Signal: -87.31 dBm | First Path: -94.79 dBm | Diff: 7.48 dB
[NLOS] Signal: -87.11 dBm | First Path: -94.66 dBm | Diff: 7.55 dB
[NLOS] Signal: -87.36 dBm | First Path: -94.58 dBm | Diff: 7.21 dB
[NLOS] Signal: -87.94 dBm | First Path: -94.82 dBm | Diff: 6.88 dB
[NLOS] Signal: -87.61 dBm | First Path: -94.45 dBm | Diff: 6.84 dB
[NLOS] Signal: -87.69 dBm | First Path: -94.60 dBm | Diff: 6.90 dB
