[NLOS] Signal: -83.37 dBm | First Path: -94.83 dBm | Diff: 11.46 dB
[NLOS] Signal: -82.90 dBm | First Path: -96.72 dBm | Diff: 13.83 dB
[NLOS] Signal: -83.27 dBm | First Path: -97.69 dBm | Diff: 14.42 dB
[NLOS] Signal: -83.29 dBm | First Path: -95.99 dBm | Diff: 12.70 dB
[NLOS] Signal: -83.37 dBm | First Path: -96.00 dBm | Diff: 12.63 dB
[NLOS] Signal: -82.86 dBm | First Path: -97.63 dBm | Diff: 14.77 dB
[NLOS] Signal: -83.19 dBm | First Path: -95.90 dBm | Diff: 12.71 dB
[NLOS] Signal: -83.47 dBm | First Path: -95.60 dBm | Diff: 12.14 dB
[NLOS] Signal: -83.51 dBm | First Path: -95.61 dBm | Diff: 12.10 dB
[NLOS] Signal: -83.59 dBm | First Path: -98.32 dBm | Diff: 14.73 dB
[NLOS] Signal: -83.63 dBm | First Path: -96.16 dBm | Diff: 12.53 dB
[NLOS] Signal: -83.51 dBm | First Path: -93.56 dBm | Diff: 10.05 dB
[NLOS] Signal: -83.55 dBm | First Path: -93.94 dBm | Diff: 10.39 dB
[NLOS] Signal: -83.23 dBm | First Path: -93.54 dBm | Diff: 10.32 dB
[NLOS] Signal: -83.94 dBm | First Path: -95.63 dBm | Diff: 11.69 dB
[NLOS] Signal: -83.21 dBm | First Path: -94.30 dBm | Diff: 11.09 dB
[NLOS] Signal: -83.40 dBm | First Path: -93.70 dBm | Diff: 10.30 dB
[NLOS] Signal: -83.55 dBm | First Path: -91.58 dBm | Diff: 8.03 dB
[NLOS] Signal: -83.16 dBm | First Path: -91.42 dBm | Diff: 8.26 dB
[NLOS] Signal: -83.23 dBm | First Path: -93.88 dBm | Diff: 10.65 dB
[NLOS] Signal: -83.16 dBm | First Path: -93.78 dBm | Diff: 10.62 dB
[NLOS] Signal: -83.59 dBm | First Path: -94.95 dBm | Diff: 11.36 dB
[NLOS] Signal: -83.23 dBm | First Path: -96.58 dBm | Diff: 13.35 dB
[NLOS] Signal: -83.43 dBm | First Path: -98.56 dBm | Diff: 15.14 dB
[NLOS] Signal: -83.59 dBm | First Path: -98.30 dBm | Diff: 14.70 dB
[NLOS] Signal: -83.21 dBm | First Path: -97.18 dBm | Diff: 13.97 dB
[NLOS] Signal: -83.26 dBm | First Path: -98.28 dBm | Diff: 15.02 dB
[NLOS] Signal: -83.76 dBm | First Path: -100.52 dBm | Diff: 16.76 dB
[NLOS] Signal: -83.67 dBm | First Path: -106.14 dBm | Diff: 22.47 dB
[NLOS] Signal: -83.37 dBm | First Path: -105.52 dBm | Diff: 22.15 dB
[NLOS] Signal: -83.71 dBm | First Path: -101.03 dBm | Diff: 17.31 dB
[NLOS] Signal: -83.59 dBm | First Path: -99.51 dBm | Diff: 15.92 dB
[NLOS] Signal: -83.55 dBm | First Path: -99.56 dBm | Diff: 16.01 dB
[NLOS] Signal: -83.39 dBm | First Path: -98.52 dBm | Diff: 15.13 dB
[NLOS] Signal: -83.10 dBm | First Path: -97.95 dBm | Diff: 14.84 dB
[NLOS] Signal: -83.24 dBm | First Path: -98.30 dBm | Diff: 15.06 dB
[NLOS] Signal: -82.98 dBm | First Path: -97.26 dBm | Diff: 14.28 dB
[NLOS] Signal: -83.16 dBm | First Path: -94.88 dBm | Diff: 11.71 dB
[NLOS] Signal: -83.40 dBm | First Path: -93.69 dBm | Diff: 10.29 dB
[NLOS] Signal: -83.71 dBm | First Path: -95.61 dBm | Diff: 11.90 dB
[NLOS] Signal: -82.88 dBm | First Path: -95.79 dBm | Diff: 12.92 dB
[NLOS] Signal: -83.13 dBm | First Path: -97.94 dBm | Diff: 14.80 dB
[NLOS] Signal: -83.35 dBm | First Path: -97.55 dBm | Diff: 14.20 dB
[NLOS] Signal: -82.84 dBm | First Path: -96.87 dBm | Diff: 14.03 dB
[NLOS] Signal: -82.89 dBm | First Path: -95.48 dBm | Diff: 12.59 dB
[NLOS] Signal: -82.78 dBm | First Path: -95.41 dBm | Diff: 12.63 dB
[NLOS] Signal: -82.57 dBm | First Path: -96.34 dBm | Diff: 13.77 dB
[NLOS] Signal: -82.91 dBm | First Path: -97.83 dBm | Diff: 14.92 dB
[NLOS] Signal: -82.57 dBm | First Path: -97.42 dBm | Diff: 14.85 dB
[NLOS] Signal: -82.72 dBm | First Path: -94.19 dBm | Diff: 11.47 dB
[NLOS] Signal: -83.48 dBm | First Path: -94.45 dBm | Diff: 10.97 dB
[NLOS] Signal: -82.82 dBm | First Path: -97.22 dBm | Diff: 14.40 dB
[NLOS] Signal: -82.70 dBm | First Path: -98.38 dBm | Diff: 15.68 dB
[NLOS] Signal: -83.05 dBm | First Path: -93.76 dBm | Diff: 10.71 dB
[NLOS] Signal: -82.88 dBm | First Path: -94.24 dBm | Diff: 11.37 dB
[NLOS] Signal: -82.70 dBm | First Path: -97.99 dBm | Diff: 15.29 dB
[NLOS] Signal: -83.32 dBm | First Path: -98.15 dBm | Diff: 14.82 dB
[NLOS] Signal: -83.08 dBm | First Path: -94.91 dBm | Diff: 11.83 dB
[NLOS] Signal: -83.24 dBm | First Path: -96.08 dBm | Diff: 12.84 dB
[NLOS] Signal: -83.24 dBm | First Path: -97.58 dBm | Diff: 14.34 dB
[NLOS] Signal: -83.37 dBm | First Path: -95.42 dBm | Diff: 12.05 dB
[NLOS] Signal: -83.27 dBm | First Path: -97.06 dBm | Diff: 13.79 dB
[NLOS] Signal: -82.72 dBm | First Path: -96.00 dBm | Diff: 13.28 dB
[NLOS] Signal: -83.31 dBm | First Path: -95.83 dBm | Diff: 12.52 dB
[NLOS] Signal: -83.13 dBm | First Path: -96.69 dBm | Diff: 13.56 dB
[NLOS] Signal: -82.96 dBm | First Path: -95.21 dBm | Diff: 12.26 dB
[NLOS] Signal: -82.80 dBm | First Path: -97.35 dBm | Diff: 14.55 dB
[NLOS] Signal: -82.98 dBm | First Path: -96.12 dBm | Diff: 13.14 dB
[NLOS] Signal: -82.84 dBm | First Path: -96.50 dBm | Diff: 13.66 dB
[NLOS] Signal: -83.24 dBm | First Path: -96.23 dBm | Diff: 13.00 dB
[NLOS] Signal: -82.80 dBm | First Path: -96.87 dBm | Diff: 14.08 dB
[NLOS] Signal: -83.00 dBm | First Path: -97.38 dBm | Diff: 14.39 dB
[NLOS] Signal: -83.48 dBm | First Path: -97.46 dBm | Diff: 13.98 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.83 dBm | Diff: 13.75 dB
[NLOS] Signal: -82.56 dBm | First Path: -97.06 dBm | Diff: 14.51 dB
[NLOS] Signal: -83.13 dBm | First Path: -97.41 dBm | Diff: 14.28 dB
[NLOS] Signal: -83.24 dBm | First Path: -96.34 dBm | Diff: 13.10 dB
[NLOS] Signal: -83.27 dBm | First Path: -96.37 dBm | Diff: 13.10 dB
[NLOS] Signal: -82.90 dBm | First Path: -96.54 dBm | Diff: 13.64 dB
[NLOS] Signal: -82.92 dBm | First Path: -96.07 dBm | Diff: 13.15 dB
[NLOS] Signal: -82.94 dBm | First Path: -96.19 dBm | Diff: 13.24 dB
[NLOS] Signal: -83.26 dBm | First Path: -97.06 dBm | Diff: 13.80 dB
[NLOS] Signal: -82.64 dBm | First Path: -96.01 dBm | Diff: 13.37 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.35 dBm | Diff: 13.27 dB
[NLOS] Signal: -83.18 dBm | First Path: -96.14 dBm | Diff: 12.95 dB
[NLOS] Signal: -83.19 dBm | First Path: -96.51 dBm | Diff: 13.31 dB
[NLOS] Signal: -82.88 dBm | First Path: -96.32 dBm | Diff: 13.44 dB
[NLOS] Signal: -83.71 dBm | First Path: -96.31 dBm | Diff: 12.60 dB
[NLOS] Signal: -83.45 dBm | First Path: -96.67 dBm | Diff: 13.22 dB
[NLOS] Signal: -83.11 dBm | First Path: -96.70 dBm | Diff: 13.59 dB
[NLOS] Signal: -82.64 dBm | First Path: -96.49 dBm | Diff: 13.85 dB
[NLOS] Signal: -83.68 dBm | First Path: -96.76 dBm | Diff: 13.08 dB
[NLOS] Signal: -83.26 dBm | First Path: -96.61 dBm | Diff: 13.35 dB
[NLOS] Signal: -83.29 dBm | First Path: -96.83 dBm | Diff: 13.53 dB
[NLOS] Signal: -82.98 dBm | First Path: -96.61 dBm | Diff: 13.63 dB
[NLOS] Signal: -83.06 dBm | First Path: -96.48 dBm | Diff: 13.42 dB
[NLOS] Signal: -83.16 dBm | First Path: -96.40 dBm | Diff: 13.24 dB
[NLOS] Signal: -82.89 dBm | First Path: -96.67 dBm | Diff: 13.78 dB
[NLOS] Signal: -82.80 dBm | First Path: -96.54 dBm | Diff: 13.75 dB
[NLOS] Signal: -83.34 dBm | First Path: -97.10 dBm | Diff: 13.75 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.32 dBm | Diff: 13.32 dB
[NLOS] Signal: -83.03 dBm | First Path: -96.49 dBm | Diff: 13.46 dB
[NLOS] Signal: -82.92 dBm | First Path: -96.43 dBm | Diff: 13.51 dB
[NLOS] Signal: -83.34 dBm | First Path: -96.92 dBm | Diff: 13.58 dB
[NLOS] Signal: -83.02 dBm | First Path: -96.25 dBm | Diff: 13.23 dB
[NLOS] Signal: -82.88 dBm | First Path: -96.76 dBm | Diff: 13.88 dB
[NLOS] Signal: -83.27 dBm | First Path: -97.08 dBm | Diff: 13.81 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.51 dBm | Diff: 13.43 dB
[NLOS] Signal: -82.97 dBm | First Path: -96.72 dBm | Diff: 13.75 dB
[NLOS] Signal: -82.98 dBm | First Path: -96.38 dBm | Diff: 13.40 dB
[NLOS] Signal: -83.16 dBm | First Path: -96.47 dBm | Diff: 13.31 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.53 dBm | Diff: 13.53 dB
[NLOS] Signal: -82.92 dBm | First Path: -96.50 dBm | Diff: 13.58 dB
[NLOS] Signal: -82.86 dBm | First Path: -96.39 dBm | Diff: 13.53 dB
[NLOS] Signal: -83.29 dBm | First Path: -95.71 dBm | Diff: 12.42 dB
[NLOS] Signal: -83.64 dBm | First Path: -96.18 dBm | Diff: 12.54 dB
[NLOS] Signal: -82.90 dBm | First Path: -96.08 dBm | Diff: 13.18 dB
[NLOS] Signal: -83.13 dBm | First Path: -96.91 dBm | Diff: 13.78 dB
[NLOS] Signal: -82.88 dBm | First Path: -96.38 dBm | Diff: 13.50 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.21 dBm | Diff: 13.22 dB
[NLOS] Signal: -82.70 dBm | First Path: -96.82 dBm | Diff: 14.12 dB
[NLOS] Signal: -82.64 dBm | First Path: -96.76 dBm | Diff: 14.13 dB
[NLOS] Signal: -82.90 dBm | First Path: -96.53 dBm | Diff: 13.63 dB
