[NLOS] Signal: -81.91 dBm | First Path: -90.11 dBm | Diff: 8.19 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.75 dBm | Diff: 8.93 dB
[NLOS] Signal: -81.54 dBm | First Path: -90.51 dBm | Diff: 8.97 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.71 dBm | Diff: 9.04 dB
[NLOS] Signal: -81.53 dBm | First Path: -90.24 dBm | Diff: 8.71 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.77 dBm | Diff: 8.94 dB
[NLOS] Signal: -81.99 dBm | First Path: -91.11 dBm | Diff: 9.12 dB
[NLOS] Signal: -81.54 dBm | First Path: -90.88 dBm | Diff: 9.34 dB
[NLOS] Signal: -81.46 dBm | First Path: -90.39 dBm | Diff: 8.93 dB
[NLOS] Signal: -81.50 dBm | First Path: -89.79 dBm | Diff: 8.29 dB
[NLOS] Signal: -81.66 dBm | First Path: -90.13 dBm | Diff: 8.47 dB
[NLOS] Signal: -81.59 dBm | First Path: -90.27 dBm | Diff: 8.69 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.35 dBm | Diff: 8.52 dB
[NLOS] Signal: -81.52 dBm | First Path: -89.79 dBm | Diff: 8.27 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.41 dBm | Diff: 8.75 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.23 dBm | Diff: 9.41 dB
[NLOS] Signal: -82.00 dBm | First Path: -90.91 dBm | Diff: 8.91 dB
[NLOS] Signal: -81.59 dBm | First Path: -90.38 dBm | Diff: 8.78 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.15 dBm | Diff: 8.40 dB
[NLOS] Signal: -81.66 dBm | First Path: -90.39 dBm | Diff: 8.72 dB
