[NLOS] Signal: -84.37 dBm | First Path: -96.73 dBm | Diff: 12.36 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.64 dBm | Diff: 12.28 dB
[NLOS] Signal: -84.52 dBm | First Path: -97.32 dBm | Diff: 12.80 dB
[NLOS] Signal: -84.28 dBm | First Path: -96.43 dBm | Diff: 12.15 dB
[NLOS] Signal: -84.30 dBm | First Path: -96.11 dBm | Diff: 11.81 dB
[NLOS] Signal: -84.38 dBm | First Path: -95.91 dBm | Diff: 11.53 dB
[NLOS] Signal: -84.44 dBm | First Path: -95.66 dBm | Diff: 11.23 dB
[NLOS] Signal: -84.37 dBm | First Path: -95.84 dBm | Diff: 11.47 dB
[NLOS] Signal: -84.53 dBm | First Path: -96.78 dBm | Diff: 12.25 dB
[NLOS] Signal: -84.44 dBm | First Path: -95.85 dBm | Diff: 11.41 dB
[NLOS] Signal: -84.51 dBm | First Path: -96.54 dBm | Diff: 12.03 dB
[NLOS] Signal: -84.61 dBm | First Path: -96.50 dBm | Diff: 11.89 dB
[NLOS] Signal: -84.61 dBm | First Path: -95.76 dBm | Diff: 11.15 dB
[NLOS] Signal: -84.54 dBm | First Path: -96.22 dBm | Diff: 11.68 dB
[NLOS] Signal: -85.00 dBm | First Path: -96.08 dBm | Diff: 11.08 dB
[NLOS] Signal: -84.44 dBm | First Path: -96.67 dBm | Diff: 12.24 dB
[NLOS] Signal: -84.43 dBm | First Path: -95.44 dBm | Diff: 11.01 dB
[NLOS] Signal: -84.43 dBm | First Path: -95.90 dBm | Diff: 11.47 dB
[NLOS] Signal: -84.22 dBm | First Path: -95.78 dBm | Diff: 11.56 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.80 dBm | Diff: 12.44 dB
[NLOS] Signal: -84.08 dBm | First Path: -95.58 dBm | Diff: 11.50 dB
[NLOS] Signal: -84.45 dBm | First Path: -95.76 dBm | Diff: 11.31 dB
[NLOS] Signal: -84.46 dBm | First Path: -95.31 dBm | Diff: 10.85 dB
[NLOS] Signal: -84.51 dBm | First Path: -95.91 dBm | Diff: 11.40 dB
[NLOS] Signal: -84.20 dBm | First Path: -96.04 dBm | Diff: 11.84 dB
[NLOS] Signal: -84.28 dBm | First Path: -95.42 dBm | Diff: 11.13 dB
[NLOS] Signal: -84.14 dBm | First Path: -95.75 dBm | Diff: 11.62 dB
[NLOS] Signal: -84.28 dBm | First Path: -95.10 dBm | Diff: 10.82 dB
[NLOS] Signal: -84.22 dBm | First Path: -94.95 dBm | Diff: 10.73 dB
[NLOS] Signal: -84.38 dBm | First Path: -94.57 dBm | Diff: 10.19 dB
[NLOS] Signal: -84.48 dBm | First Path: -93.53 dBm | Diff: 9.05 dB
[NLOS] Signal: -84.20 dBm | First Path: -94.00 dBm | Diff: 9.80 dB
[NLOS] Signal: -84.08 dBm | First Path: -93.75 dBm | Diff: 9.67 dB
[NLOS] Signal: -84.20 dBm | First Path: -93.04 dBm | Diff: 8.84 dB
[NLOS] Signal: -84.24 dBm | First Path: -93.75 dBm | Diff: 9.51 dB
[NLOS] Signal: -84.08 dBm | First Path: -92.76 dBm | Diff: 8.68 dB
[NLOS] Signal: -84.84 dBm | First Path: -93.01 dBm | Diff: 8.17 dB
