[NLOS] Signal: -86.06 dBm | First Path: -99.58 dBm | Diff: 13.52 dB
[NLOS] Signal: -86.06 dBm | First Path: -99.61 dBm | Diff: 13.55 dB
[NLOS] Signal: -86.01 dBm | First Path: -99.78 dBm | Diff: 13.77 dB
[NLOS] Signal: -86.10 dBm | First Path: -100.84 dBm | Diff: 14.74 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.82 dBm | Diff: 15.12 dB
[NLOS] Signal: -86.01 dBm | First Path: -99.77 dBm | Diff: 13.76 dB
[NLOS] Signal: -86.19 dBm | First Path: -99.45 dBm | Diff: 13.26 dB
[NLOS] Signal: -86.27 dBm | First Path: -99.64 dBm | Diff: 13.37 dB
[NLOS] Signal: -86.01 dBm | First Path: -99.98 dBm | Diff: 13.97 dB
[NLOS] Signal: -86.12 dBm | First Path: -99.08 dBm | Diff: 12.96 dB
[NLOS] Signal: -85.69 dBm | First Path: -99.18 dBm | Diff: 13.49 dB
[NLOS] Signal: -86.20 dBm | First Path: -99.86 dBm | Diff: 13.66 dB
[NLOS] Signal: -85.77 dBm | First Path: -100.52 dBm | Diff: 14.75 dB
[NLOS] Signal: -85.81 dBm | First Path: -99.79 dBm | Diff: 13.98 dB
[NLOS] Signal: -86.19 dBm | First Path: -99.47 dBm | Diff: 13.28 dB
[NLOS] Signal: -86.09 dBm | First Path: -101.10 dBm | Diff: 15.02 dB
[NLOS] Signal: -86.06 dBm | First Path: -100.27 dBm | Diff: 14.21 dB
[NLOS] Signal: -86.27 dBm | First Path: -100.94 dBm | Diff: 14.67 dB
[NLOS] Signal: -85.78 dBm | First Path: -100.31 dBm | Diff: 14.52 dB
[NLOS] Signal: -86.04 dBm | First Path: -99.67 dBm | Diff: 13.63 dB
[NLOS] Signal: -85.61 dBm | First Path: -100.54 dBm | Diff: 14.92 dB
[NLOS] Signal: -85.61 dBm | First Path: -100.27 dBm | Diff: 14.66 dB
[NLOS] Signal: -86.01 dBm | First Path: -99.80 dBm | Diff: 13.79 dB
[NLOS] Signal: -85.98 dBm | First Path: -99.49 dBm | Diff: 13.51 dB
[NLOS] Signal: -85.77 dBm | First Path: -99.80 dBm | Diff: 14.03 dB
[NLOS] Signal: -86.04 dBm | First Path: -100.56 dBm | Diff: 14.52 dB
[NLOS] Signal: -85.61 dBm | First Path: -101.18 dBm | Diff: 15.57 dB
[NLOS] Signal: -85.81 dBm | First Path: -99.60 dBm | Diff: 13.79 dB
[NLOS] Signal: -85.69 dBm | First Path: -99.47 dBm | Diff: 13.78 dB
[NLOS] Signal: -85.48 dBm | First Path: -99.53 dBm | Diff: 14.05 dB
[NLOS] Signal: -86.12 dBm | First Path: -100.18 dBm | Diff: 14.06 dB
[NLOS] Signal: -86.06 dBm | First Path: -100.65 dBm | Diff: 14.58 dB
[NLOS] Signal: -85.73 dBm | First Path: -99.52 dBm | Diff: 13.79 dB
[NLOS] Signal: -86.01 dBm | First Path: -100.10 dBm | Diff: 14.09 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.36 dBm | Diff: 14.68 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.84 dBm | Diff: 15.03 dB
[NLOS] Signal: -85.33 dBm | First Path: -100.69 dBm | Diff: 15.36 dB
[NLOS] Signal: -85.90 dBm | First Path: -100.38 dBm | Diff: 14.48 dB
[NLOS] Signal: -86.14 dBm | First Path: -100.12 dBm | Diff: 13.98 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.68 dBm | Diff: 14.98 dB
[NLOS] Signal: -85.81 dBm | First Path: -99.77 dBm | Diff: 13.95 dB
[NLOS] Signal: -85.95 dBm | First Path: -100.54 dBm | Diff: 14.59 dB
[NLOS] Signal: -85.65 dBm | First Path: -99.87 dBm | Diff: 14.22 dB
[NLOS] Signal: -85.81 dBm | First Path: -99.79 dBm | Diff: 13.98 dB
[NLOS] Signal: -85.60 dBm | First Path: -101.06 dBm | Diff: 15.45 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.71 dBm | Diff: 15.90 dB
[NLOS] Signal: -86.20 dBm | First Path: -99.69 dBm | Diff: 13.49 dB
[NLOS] Signal: -85.85 dBm | First Path: -100.31 dBm | Diff: 14.46 dB
